ranges,sums,n,average_count
"(8.32e+07,8.49e+07]",24497.638863351156,699,0.0016977560313814091
"(8.49e+07,8.65e+07]",24511.82446293709,722,0.0016987391337689544
"(8.65e+07,8.81e+07]",24753.91157868563,741,0.0017155164592562969
"(8.81e+07,8.98e+07]",25135.625092524875,741,0.0017419702911539445
"(8.98e+07,9.14e+07]",23304.371487014483,722,0.0016150592091885977
"(9.14e+07,9.3e+07]",30653.977871478917,944,0.002124407829972246
"(9.3e+07,9.47e+07]",22650.36495440357,701,0.0015697346968347107
"(9.47e+07,9.63e+07]",18082.483590585132,554,0.0012531675297164418
"(9.63e+07,9.79e+07]",12712.89822050158,427,8.810399953476186e-4
"(9.79e+07,9.96e+07]",12860.93070513257,430,8.912990674575688e-4
"(9.96e+07,1.01e+08]",9597.605228898032,369,6.651413328064054e-4
"(1.01e+08,1.03e+08]",11147.117490903614,440,7.725269385455359e-4
"(1.03e+08,1.04e+08]",10094.108419279853,395,6.995504156887523e-4
"(1.04e+08,1.06e+08]",7805.225529010859,322,5.409243230372943e-4
"(1.06e+08,1.08e+08]",7706.09559420152,311,5.340543366826184e-4
"(1.08e+08,1.09e+08]",7759.118815934496,333,5.377289967183292e-4
"(1.09e+08,1.11e+08]",8901.288953060255,352,6.168846349406704e-4
"(1.11e+08,1.13e+08]",9672.080217372148,417,6.703026612746012e-4
"(1.13e+08,1.14e+08]",7737.341647170847,359,5.362197770004156e-4
"(1.14e+08,1.16e+08]",9640.452149824034,399,6.681107462602493e-4
"(1.16e+08,1.18e+08]",9103.360183963405,401,6.308887458245043e-4
"(1.18e+08,1.19e+08]",7403.060143170395,343,5.13053118255803e-4
"(1.19e+08,1.21e+08]",7455.824533249762,341,5.167098405219403e-4
"(1.21e+08,1.22e+08]",10012.065061426283,468,6.938645777021755e-4
"(1.22e+08,1.24e+08]",8857.076714436462,404,6.138206010881381e-4
"(1.24e+08,1.26e+08]",9038.118716027653,405,6.263673265847993e-4
"(1.26e+08,1.27e+08]",8942.974770272678,385,6.197735806056067e-4
"(1.27e+08,1.29e+08]",7318.037185755923,367,5.07160785547272e-4
"(1.29e+08,1.31e+08]",6954.729271955669,355,4.819825140679854e-4
"(1.31e+08,1.32e+08]",7235.576690525139,376,5.014460387543393e-4
"(1.32e+08,1.34e+08]",7435.464102318118,394,5.152988047642276e-4
"(1.34e+08,1.35e+08]",4464.850014287003,234,3.0942680162982016e-4
"(1.35e+08,1.37e+08]",3358.5809619524566,211,2.3275921066694775e-4
"(1.37e+08,1.39e+08]",3630.9074574103197,201,2.516322111527302e-4
"(1.39e+08,1.4e+08]",4472.973254312849,233,3.099897652617509e-4
"(1.4e+08,1.42e+08]",5531.769082263878,286,3.8336732678644677e-4
"(1.42e+08,1.44e+08]",7070.996039329194,353,4.900401316473238e-4
"(1.44e+08,1.45e+08]",5758.862318235452,290,3.9910553377069005e-4
"(1.45e+08,1.47e+08]",5330.066598002691,274,3.6938877109341867e-4
"(1.47e+08,1.49e+08]",4469.21081591102,259,3.097290175821464e-4
"(1.49e+08,1.5e+08]",5532.862171688116,281,3.834430809917068e-4
"(1.5e+08,1.52e+08]",5714.50853715065,285,3.9603169062313895e-4
"(1.52e+08,1.53e+08]",6088.0623687697325,306,4.219200333411676e-4
"(1.53e+08,1.55e+08]",5431.598098370145,241,3.7642519277003686e-4
"(1.55e+08,1.57e+08]",4513.5531066901185,216,3.1280206441884e-4
"(1.57e+08,1.58e+08]",3272.396540029201,166,2.2678638516537565e-4
"(1.58e+08,1.6e+08]",2441.144146463698,130,1.6917823065513271e-4
"(1.6e+08,1.62e+08]",1375.552947330671,73,9.532973058513182e-5
"(1.62e+08,1.63e+08]",861.7072830192897,41,5.971876494676839e-5
