ccl4_10w_vs_ccl4_6w_a2b	ccl4_10w_vs_ccl4_6w_b2a	ccl4_10w_vs_ctrl_10w_a2b	ccl4_10w_vs_ctrl_10w_b2a	ccl4_18w_vs_ccl4_10w_a2b	ccl4_18w_vs_ccl4_10w_b2a	ccl4_18w_vs_ccl4_6w_a2b	ccl4_18w_vs_ccl4_6w_b2a	ccl4_18w_vs_ctrl_18w_a2b	ccl4_18w_vs_ctrl_18w_b2a	ccl4_6w_vs_ctrl_6w_a2b	ccl4_6w_vs_ctrl_6w_b2a	ctrl_10w_vs_ctrl_6w_a2b	ctrl_10w_vs_ctrl_6w_b2a	ctrl_18w_vs_ctrl_10w_a2b	ctrl_18w_vs_ctrl_10w_b2a	ctrl_18w_vs_ctrl_6w_a2b	ctrl_18w_vs_ctrl_6w_b2a
-0.28		-0.27		-0.09		3.06		0.2		0.04		1.9		0.54		0.15	
-0.3		0.13		-0.36		-0.55		0.2		-0.05		0.99		-0.64		1.02	
-0.51		0.06		-0.36		-0.55		0.33		-0.05		0.88		0.12		0.18	
0.36		-0.23		-0.79		-0.11		-0.28		0.57		-0.93		-1.13		-0.08	
0.12		0		4.84		1.63		4.57		0.47		-1.58		0.26		-0.87	
0.14		-0.36		4.84		1.63		4.57		-0.25		0		0.19		-2.7	
-0.14		-0.11		0.21		3.08		1.35		0.3		0.03		-0.01		0.65	
-0.56		-0.02		-0.54		1.18		1.35		0.3		0.99		0.97		0.42	
0.4		-0.08		-0.35		-0.28		-0.63		0.06		-1.78		-0.38		-0.55	
0.29		0.1		-0.21		-2.49		-0.37		0.24		0		0.74		-0.04	
0.16		0.52		0.41		-0.48		-0.08		0.24		0		0.74		-0.6	
-0.41		-0.23		1.61		0.21		-0.12		3.04		0		0.08		-2.44	
-0.07		1.6		3.55		8.39		0.46		1.23		0		-0.75		-0.25	
0.4		0.87		3.55		8.39		-0.84		0.43		3.71		-1.75		0.28	
0.4		0.06		0.38		-0.3		-0.45		0.43		3.71		-0.01		0.24	
0.09		0.42		-0.63		-0.82		-0.33		0.13		-0.94		-0.27		-1.19	
-0.33		0.28		-0.63		0.09		-0.33		0.13		-3.07		2.35		0.41	
0.13		-0.24		-0.63		1.12		0.64		0.17		-0.94		1.87		1.52	
0.33		0.04		2.36		0.61		-1.02		0.21		1.26		-0.26		-0.09	
-0.03		2.65		-0.16		-0.08		-0.25		0.58		-2.47		-0.32		-0.03	
0.08		1.46		1.72		0.1		3.07		0.14		0		-0.55		-0.33	
0.5		-0.01		1.72		0.1		3.07		-0.62		-0.94		-0.28		-0.84	
-0.33		-0.56		2.68		0.63		-0.63		-0.1		0		-0.9		-0.9	
0.43		-0.09		0.31		0.63		1.69		0.35		1.06		0.85		-0.2	
0.27		-0.05		0.21		-0.01		-0.07		-0.46		1.06		0.56		1.07	
-0.39		1.12		-0.78		-0.35		3.1		3.66		-0.94		0.12		-0.82	
0.18		-0.27		0.01		-0.3		0.68		-0.17		-2.45		-0.68		0.4	
1.1		-0.02		0		-0.66		0.68		-0.17		-1.78		-0.09		0.79	
-0.42		2.74		-0.2		1.38		0.72		0.96		1.93		-0.58		-0.39	
-1.77		-0.67		0.28		1.86		0.5		0.04		-2.82		0.96		0.42	
-0.26		-0.3		-0.53		1.73		-1.08		0.15		0.99		-0.3		0.42	
-0.23		1.47		1.65		3.24		-0.16		-0.46		1.91		-0.58		0.13	
0.42		-0.22		-0.7		3.24		-0.34		0.5		1.35		0.14		-0.61	
0.95		1.42		1.56		-0.15		-0.15		1.78		0		0.66		0.91	
0.22		-0.53		0.18		0.8		0.11		-0.23		1.02		0.05		0.13	
1.17		0.15		0.18		0.8		0.05		0		1.87		0.03		-0.9	
-0.84		-0.26		0.18		0.8		1.96		-0.07		0.99		0.24		0.4	
-0.14		1.02		0.6		0.92		0.83		0.28		0		-0.61		0.4	
-0.76		1.9		-0.34		0.1		-0.78		0.32		0		-0.23		-0.18	
-0.45		0.26		0.12		-0.06		0.87		1.22		1.9		0.21		0.16	
0.16		0.08		-0.06		0.46		-1.07		0.03		-0.55		-1.21		0.44	
0.16		0.51		1.3		1.14		3.26		1.8		2.48		-0.85		0.35	
0.08		-0.14		-0.28		1.61		-1.79		-0.06		0		-0.21		1.35	
-0.31		-0.01		-0.65		-0.21		-1.79		-0.26		0		1.79		1.44	
-0.49		2.46		-0.09		3.9		-0.4		-0.06		0.93		0.27		0.48	
-0.53		3.79		0.35		3.9		1.22		-0.08		0		1.83		0.48	
0.09		0.06		-0.04		1.13		1.89		0.06		0		-0.38		-0.22	
-0.61		1.87		0.97		0.08		0.12		-0.11		0		-0.38		-0.31	
-1.69		-0.87		0.97		0		0.12		-0.06		1.01		-0.08		0.61	
-0.08		-0.02		-0.52		0.68		0.12		-0.06		-2.44		-0.05		-0.98	
-0.03		-0.03		-0.81		0.68		-0.52		0.19		-0.94		0.04		-0.94	
-0.81		-1.61		0.23		0.33		5.6		0.19		0		0.27		0.01	
-0.24		-0.05		1.23		-0.13		5.6		1		0		0.35		-0.2	
-0.36		1.63		-0.2		-0.12		2.46		1		0		0.98		-0.31	
-0.37		-0.21		-0.02		-0.12		-0.48		0.89		0		0.32		-0.92	
0.31		-0.2		2.38		1.15		-0.46		-0.49		-2.39		0.04		1.31	
-0.05		-0.29		0.29		0.28		5.79		0.15		0.65		0.23		0.15	
0.43		-0.39		-2.3		0.05		-0.95		0.1		1.91		0.1		-0.78	
0.2		0.85		1.66		-0.6		-0.94		0.32		0.83		-0.13		0.33	
0.64		-0.17		-0.16		0.35		0.07		-0.16		1.84		-0.44		1.31	
0.35		-1		-0.16		-0.13		0.97		-0.56		-0.94		-0.52		-0.69	
-0.27		0.39		-0.16		0.09		-0.13		0.62		0		-1.18		-0.1	
0.07		-0.47		2.04		-1.04		-0.13		-0.04		-2.45		0.26		1.64	
-0.18		0.97		4.77		0.1		0.01		-0.12		-0.94		0.87		-0.54	
0.21		4.11		4.77		1.1		5.3		-0.1		0		-0.83		-0.14	
-0.03		-0.06		0.94		-0.07		-0.12		0		1.53		0.17		0.07	
-0.45		0.16		0.36		-0.23		0.1		-0.34		1.9		0.65		-0.77	
0.32		0.09		1.77		0.54		3.41		-0.05		0		-2.22		0.42	
0.8		-0.02		1.77		-0.45		3.41		0.49		3.48		-0.09		-1.01	
-0.65		-0.23		0.75		1.25		-0.95		0.49		0		1.22		-0.59	
-0.67		-0.1		0.09		1.25		2.13		-0.55		-0.94		-0.92		-0.3	
2.3		-0.33		-3.84		-0.68		-0.03		-0.2		-0.75		0.15		-3.64	
-0.11		-0.33		-0.04		-0.53		0.02		-0.11		0.29		0.08		0.81	
-0.35		-0.33		-0.16		1.82		-0.07		0.23		0		0.28		0.13	
-0.61		0.2		0.17		1.05		1.09		0.23		2.91		0.11		1.85	
-0.46		-0.26		-1.13		1.53		-1.07		0.36		0		-0.57		-0.72	
-0.32		-0.26		2.12		-0.24		0.11		0.35		0.01		-0.69		0.14	
0.63		-0.45		0.18		0.55		0.92		0.35		0.79		-0.1		0.05	
-0.67		0		0.06		0.55		-0.74		-0.34		0.04		0.17		-1.86	
-0.34		-0.01		0.63		2.3		-0.74		-0.33		0		0.12		0.6	
0.28		-0.09		0.46		0.22		0.67		-0.28		0.99		1.26		0.84	
-0.04		0		0.93		-1.43		3.8		-0.09		0.99		1.3		0.32	
0.94		0		-1.05		0.52		0.1		0.18		0		-0.53		-0.5	
0.78		-0.47		0.92		-0.79		-0.26		0.01		0		0.53		1.68	
0.19		0.37		0.92		0.07		-2.39		-0.17		0		0.4		-0.68	
0.43		0.37		-0.31		0.24		-0.04		0.12		-0.79		0.17		0.1	
0.36		-0.07		1.69		-0.53		0.66		0.98		-2.36		0.17		0.18	
0.59		0.84		0.45		-0.23		-0.29		-0.13		0		-0.28		-0.01	
1.08		-0.16		1.01		-0.23		5.69		0		0		-0.18		0.08	
0.96		2.13		0.04		0.13		-1.02		-0.03		0		-0.92		0.97	
-0.4		0.52		0.64		0.12		1.48		0.41		-1.86		-0.02		0.64	
-1.15		0.24		0.54		0.08		1.31		0.13		0		-0.25		-0.22	
0.49		-0.08		-0.24		-0.44		5.34		0.46		-1.79		-0.5		-4.66	
-0.69		0.09		-0.36		0.1		0.42		-0.12		-1.86		0.26		-0.7	
-0.63		0.03		1.96		-0.36		3.39		0.48		0		0.02		-0.67	
-0.76		0.03		0.08		1.06		0.16		0.42		-0.98		0.51		-0.67	
0.71		-0.03		0.15		-0.19		0.76		0.42		-0.98		-0.1		0.16	
0.92		-0.35		-0.61		-0.56		2.16		0.51		0		0.2		-0.02	
-0.76		-0.18		2.75		1.77		-0.74		0.37		1.91		-0.98		0.82	
0.07		-0.18		0.38		1.77		-0.74		1.55		0.08		0		0.43	
-0.69		1.06		-0.02		1.77		-0.19		1.04		-1.1		-0.02		-0.39	
-0.1		-0.15		0.11		0.99		-0.47		0.21		0		0		-0.63	
-0.17		0.75		2.08		2.96		0.06		0.08		1.32		0		0.74	
-0.37		0.23		1.07		0.24		0.1		4.15		1.88		0		-1.33	
1.11		0.05		-0.02		-0.59		-0.24		4.15		0		0.86		0.45	
1.04		-0.11		0.01		0.47		1.16		0.01		1.91		0.86		-0.79	
-0.46		-0.51		0.96		1.3		0.12		-0.1		0		0.86		-0.06	
0.58		1.45		0.27		0.37		1.15		0.75		-0.94		-1.89		-0.06	
0.93		1.34		-0.71		-0.31		-0.77		-0.58		-0.94		0.94		0.13	
0.11		-0.07		-0.14		-0.3		0.17		2.66		0.99		-0.16		0.15	
-0.14		0.06		-1.45		0.29		1.38		0.35		0.99		-0.02		0.14	
0.56		-0.52		-0.05		-0.92		1.38		2.77		-1.85		-0.98		-0.03	
-0.39		-0.05		0.51		-0.05		0.75		-0.22		2.48		-0.98		0.34	
-0.21		0.79		0.65		0.73		-0.11		-0.43		0		0		0.25	
-0.38		0.21		0.15		1.14		-0.62		4.51		-0.94		-0.06		0	
0.12		-0.3		0.2		3.12		0.6		0.09		-0.94		0		-0.41	
0.06		-0.71		-0.27		0.25		-0.79		0.51		0.03		0		0.45	
0.75		0.74		1.66		0.25		-0.14		2.85		0		0		-0.85	
0.58		0.24		0.1		0.25		-0.63		0.09		0		0		-0.97	
-0.13		1.94		-0.22		0.06		-0.5		-0.38		0		0		-2	
-0.32		-0.08		0.23		0.65		-0.11		0.82		0.68		1.83		-2	
-0.91		1.45		-0.65		-0.15		-2.69		0.82		0		0.94		0.03	
-0.87		1.45		0.23		-0.29		0.26		-0.44		-0.94		0		-0.28	
0.72		-0.17		-0.44		2.26		-0.18		-0.02		-2.42		0		-0.67	
1.32		-0.15		-0.92		0.65		-0.18		1.21		-1.02		0.27		-0.26	
-0.42		-0.62		-0.44		4.56		-0.15		-0.33		0.64		0		0.16	
0.19		-0.05		-0.08		1.85		-1.33		-0.65		-1.86		0.9		-1.33	
-0.02		0.96		0.66		1.4		1.68		0.06		-1.73		-0.98		-0.52	
-0.88		0.31		0.52		2.42		0.03		2.65		0		0		0.28	
-0.11		0.11		-0.33		2.42		0.53		0.02		0		2.42		-0.42	
-0.63		-0.17		2.41		1.81		0.72		-0.29		0		-0.95		0.8	
0.69		-0.13		1.7		1.84		-0.42		-0.37		0.81		-0.98		0.18	
0.28		-0.13		1.1		-0.99		-0.61		3.33		-0.9		0.31		0.37	
0.7		-0.1		0.28		-0.83		1.45		3.33		1.84		0		0.61	
-0.16		-0.12		2.59		1.2		-0.73		-0.32		0		-0.94		-0.08	
0.14		2.69		-0.74		0.07		0.66		-0.83		0.9		0		-0.52	
0.09		1.96		1.34		1.08		-0.15		-0.58		0		1.21		-0.65	
0.24		1.96		-0.04		0.87		-0.28		-0.62		1.35		0		1.01	
0.5		1.44		-0.39		0.5		3.83		0.22		0		0.94		0.84	
0.49		-0.45		-0.3		0.5		5.23		-0.05		1.84		2.42		-0.74	
-0.34		4.14		-1.24		-0.1		4.03		-0.05		0		0.94		-0.71	
0.67		-0.39		-0.53		0.1		-0.01		0.16		1.63		-0.98		-1.86	
-0.09		-0.26		0.79		0.99		0.06		0.47		1.86		-2.22		-1.86	
-0.09		2.26		0.4		0.16		0.06		0.47		0		0		-1.86	
-0.08		0.15		-0.78		0.05		0.57		-0.55		1.91		2.8		-0.8	
-0.06		-0.25		0		-0.12		0.56		-0.19		0		0		-0.8	
0.29		0.96		0.14		1.05		-0.16		-0.32		0		-1.9		0.2	
0.61		0.02		0.79		0.06		0.74		0.13		0		-0.98		-0.79	
-0.22		-0.34		-0.45		-0.06		1.51		0.13		-0.39		1.32		0.09	
0.72		-0.08		0.27		0.27		-0.52		0.98		-0.94		0.94		-1.82	
0.44		0.14		-1.73		0.57		1.23		1.67		0		0.95		-0.32	
-0.44		8.11		-0.58		0.44		4.15		0.07		0		1.83		-0.72	
-0.95		0.01		-0.34		0.91		-0.09		-0.75		0		0		-0.18	
0.5		-0.08		-0.88		0.91		-0.09		-0.14		-0.39		-0.98		0.03	
0.01		-0.35		0.69		-0.92		1.87		0.22		0		-0.04		-0.3	
0.03		0.05		0.05		0.18		-0.05		0.22		0		0.22		0.96	
0.02		0.1		-0.35		-0.17		-0.11		-0.3		0		0		-1.18	
0.02		0.34		0.97		2.69		-0.14		-0.6		0		-0.98		0.92	
-0.02		-0.05		-0.03		0.95		-0.42		0.29		0.99		-2.49		-0.01	
-0.01		-0.3		-0.86		-0.88		-0.47		0.1		-3.17		-2.42		0.97	
0.01		0		-0.63		0.18		-0.03		0.1		-0.52		-2.42		0.97	
-0.01		-0.38		1.79		0.21		-0.43		0.05		2.9		-2.42		-0.3	
0.01		0.53		4.09		1.18		-0.74		0.8		0.42		0		-0.2	
0.01		0.53		-0.55		0.12		-0.21		0.36		1.91		1.87		0.09	
0.02		-0.36		-0.08		-0.02		1.51		0.74		0		0		-0.79	
0.03		-0.59		-0.14		-0.02		1.12		0.37		-1.88		-0.98		0.21	
-0.02		-0.68		-0.03		1.51		-0.93		-0.16		0		-2.24		0.29	
0.01		-0.07		-0.08		0.31		-0.12		1.63		-1.85		-0.6		1.56	
-0.01		-0.09		0.88		0.37		-0.18		1.63		-2.19		-1.87		0.16	
0.01		2.17		1.46		0.37		-1.04		0.34		1.53		0		-1	
0		1.27		1.85		-0.98		-0.39		-0.43		0.02		1.57		0.92	
0.01		1.63		0.9		-0.21		-0.69		-0.76		1.83		0.68		0.52	
0.01		1.63		-0.23		-0.21		3.32		0.48		1.83		0		0.64	
0.01		-0.01		0.32		0.59		-0.51		-0.07		0.06		0		0.39	
0		0.99		1.43		-0.72		2.48		0.21		-3.38		0		0.37	
0.01		-0.48		-1.78		-0.3		-0.55		-0.58		-0.95		2.16		0.15	
-0.01		0.23		0.51		-0.42		-0.43		-0.17		-0.55		0		0.52	
0		-0.57		-0.35		0.53		3.61		-0.17		-0.9		-2.46		0.02	
0		-0.2		1.25		-0.29		0.83		-0.19		0.99		-0.93		-0.82	
0		-0.04		2.07		0.32		0.27		0.55		1.26		0		-0.42	
0		-0.35		1.57		0.32		0.77		0.86		0.94		0.6		-0.74	
0.07		-0.21		-0.3		-0.19		-0.25		-0.2		-2.82		0		0.22	
-1.24		-0.28		-1.59		-0.19		1.3		0.4		0		0		0.22	
0		-0.28		0.01		-0.19		-0.67		0.4		-1.31		0.94		0.5	
-1.57		-1.03		1.41		1.3		7.87		0.03		0		0		0	
0.12		0.13		0.12		1.3		1.43		0.17		0.6		-0.02		-0.94	
0		-0.17		-0.23		-0.04		1.43		0.75		1.84		0		-1.25	
-0.36		-0.24		0.89		0.1		-0.4		0.22		-1.01		-1.51		0.15	
0.23		-0.03		0.89		-0.06		1.7		2.12		0		0		-2.55	
-2.72		-0.58		0.89		-0.21		1.7		2.12		0		1.87		-0.25	
-0.76		-0.08		-0.52		-0.21		1.7		1.84		0		-2.88		-1.22	
-0.76		0.88		-0.43		3.6		1.78		1.74		0		0		-0.45	
0.76		0.06		-0.23		0.21		1.78		-0.14		0.03		-0.28		0.43	
-2.88		0.06		1.02		-0.44		-1		0.02		0		1.22		2.38	
0.94		0.06		0.1		0.79		0.16		-0.58		-0.72		-2.25		2.23	
0		-0.77		-0.48		-0.29		1.63		3.52		0.03		-1.08		-0.23	
-2.15		0.02		0.17		0.16		0.06		-0.31				-0.61		-0.69	
-2.48		-0.35		3.06		-0.08		1.82		-0.05				0		-0.34	
-0.76		-0.56		0.23		0		-1.21		0.96				0		-0.69	
-0.76		-0.21		0.93		-0.31		-1.63		0.52				0		0.06	
1.72		0.5		-0.37		1.16		-1.2		0.59				0.94		0.02	
-2.17		0.02		1.93		-0.08		-1.2		0.84				0		0.17	
1.95		1.56		0.08		-0.59		0.4		0.5				0		-1.34	
2.04		1.9		-0.02		3.65		11.69		-0.25				0		-1.76	
-3.84		-0.04		-0.03		3.65		11.69		0.51				0		-0.45	
-2.13		-0.03		0		0.89		-0.51		0.05				0		-0.56	
0		3.65		-0.2		0.89		-0.94		-0.02				1.57		-0.51	
1.88		0.86		-0.41		0.89		-0.17		-0.31				0		-0.85	
-0.76		-0.52		-1.48		-0.17		3.81		0.03				0		-0.17	
-0.89		2.54		0		0.53		-2.75		1.26				-2.49		-0.69	
1.16		-0.16		2.42		0.15		0.46		0.48				0		-0.19	
1.88		-0.3		-2.32		0.15		0.08		-0.07				0		-0.57	
-0.76		0.08		0.16		-0.61		0.08		-0.38				0		-1.07	
1.16		0.61		3.73		-0.03		1.13		0.59				0		-0.27	
-1.13		0.26		0		1.98		1.13		0.21				0		1.5	
-1.93		-0.07		4.32		-0.68		-0.36		1.18				0		-1.23	
0		3.19		0.38		-0.19		-0.53		0.41				0		0.09	
0		-0.11		0		0.03		-0.62		1.85				0		0.47	
1.16		-0.75		0		0.71		-1.14		-0.22				0		0.22	
-0.13		0.1		0.92		3.65		0.33		0.2				0		0.74	
-0.76		0.28		1.71		1.08		-1.23		-1.09				0		-0.67	
1.16		0.57		1.1		0.84		3.16		0.02				0		-0.5	
1.16		0.57		2.3		-0.11		-3.42		0.94				0		-0.19	
-2.34		0.27		2.84		-0.16		5.4		0.17				0		0.3	
-1.29		-0.39		3.28		-0.56		7.93		0.2				0		0.04	
0		1.88		-2.36		-0.56		-1.5		0.34				0		-0.17	
3.39		0.46		1.49		-0.32		-0.57		0.43				-0.02		-1.26	
0		0.25		3.59		-0.32		0.27		0.88				0		0.02	
2.07		-0.05		-2.32		0.19		-0.1		0.84				-0.63		-0.59	
-1.55		2.18		-2.32		-1.15		0.79		0.84				3.17		-0.25	
-0.17		0.04		1.61		2.21		0.79		0.35				0		0.58	
-0.76		-0.22		5.23		2.21		0.79		0.64				0		1.22	
1.16		-0.15		2.61		0.22		0.15		0.16				0		0.11	
-0.1		-0.28		4.38		2.26		-0.34		0.13				-0.98		-0.19	
-1.04		3.11		1.44		0.03		0.54		0.52				-0.47		-1.01	
0		-0.07		1.5		3.07		0.54		-0.44				1		-0.23	
-1.38		0.57		0.92		0.35		-0.43		0.87				0		0.14	
-0.76		0.69		-0.33		-0.08		-0.43		0.87				0		-0.38	
-1.55		0.15		1.69		1.24		-0.05		0.1				-0.93		-0.29	
1.16		-0.13		4.31		-2.79		0.22		-0.92				-0.87		1.48	
0		-0.24		-1.62		-0.23		-1.08		0.11				-0.02		-0.94	
2.11		-0.24		0.26		-0.3		3.52		-0.72				-0.98		0.23	
1.16		-0.13		2.08		-0.61		1.63		0.41				0		0.64	
-2.13		-0.12		1.62		2.8		8.12		1.12				0.96		-0.53	
-0.84		-0.12		0.51		-0.27		8.12		1.12				0		3.22	
-1.5		-0.18		0.81		0.3		0.12		0.29				0.94		-0.04	
1.16		1.29		2		0.3		-1.2		6.43				0		2.32	
0.38		-0.1		2		-1.15		0.11		0.21				3.15		-0.06	
-0.76		-0.28		0.21		0.24		-0.88		0.06				-0.98		0.34	
-0.77		-0.28		0		0.21		-0.25		0.87				1.43		1.11	
-0.76		0.86		5.1		-0.48		-0.35		-0.2				-1.9		0.5	
-0.35		2.52		1.77		3.11		0.12		0.05				0		1.52	
-0.45		-0.41		0.56		-0.1		-0.66		-0.01				0		0.29	
0.2		-0.2		0.21		0.39		0.16		0.28				-0.91		1.25	
0.18		-0.19		1.02		0.11		-1.22		0.4				0		0.53	
0.89		-0.5		2.44		0.27		-0.51		-0.65				0		0.21	
-1.19		-0.18		1.61		0.01		-1.48		0.29				-0.02		-1.56	
-2.25		0.09		0.21		0.82		0.25		1.16				-0.98		-0.23	
0		0.11		1.9		0.06		0.25		0.27				0		1.86	
-2.13		0.11		1.04		0.55		0.6		0.03				-3.2		0.63	
-1.55		-0.11		1.04		-0.06		-0.69		1.83				-0.98		1.42	
-1.21		1.19		2.3		-0.1		0.08		1.83				0.94		-2.72	
-2.64		0.14		4.94		-0.72		0.34		6.22				0		1.45	
2.32		0.34		3.25		-0.12		-1.36		2.97				1.78		-0.33	
1.17		0.06		2.4		-0.33		0.08		0.05				0		-0.23	
0.2		-0.11		2.4		-0.02		-0.19		0.81				1.77		1.61	
1.16		1.27		2.4		0.01		0.7		-0.92				0		-1.18	
0		1.27		1.84		-0.15		0.02		0.49				-0.98		-0.3	
0		0.09		0.08		-0.55		0.02		-0.11				0		0.6	
0		-0.22		0.08		0.5		0.02		0.5				0		0.68	
0		-0.35		2.97		0.5		0.73		0.3				-0.88		0.14	
1.25		-0.51		0.21		0.34		0.14		0.3				0		2.29	
0.72		-2.15		-1.23		0.21		0.41		0.38				-0.98		-1.46	
-0.59		-1.05		2.51		-1.04		-0.15		1.02				-0.98		-0.72	
0.46		-0.19		2.51		1.29		-1.32		0.48				1.43		0.97	
0		0.58		-0.95		1.37		0.2		1.41				-0.02		0.22	
0.2		0.28		-1.48		1.61		-0.24		1.41				0		-0.75	
1.16		-0.13		-0.16		-0.3		0.97		-0.84				-1		-0.28	
0		-0.03		0.46		0.3		-1.38		-0.39				0		0.81	
1.16		-0.09		0.85		-0.99		0.03		-0.02				1.87		-0.23	
3.11		-0.05		1.29		-0.15		7.57		0.56				1		1.26	
-2.26		-3.05		1.29		-0.17		0.91		0.56				0		1.58	
0		-0.61		0.21		1.77		-1.58		1.41				0		-0.52	
0		-0.61		0.04		0.25		7.47		0.33				0		-0.61	
1.09		0.35		3.26		0.47		2.1		0.15				0		-0.24	
2.16		-0.12		3.26		0.51		0.05		-0.03				1.87		0.66	
-1.55		0.08		3.26		-0.2		1.15		0.57				-0.6		1.03	
0		-0.1		1.58		1.02		-0.73		-0.03				-0.98		0.06	
-1.73		0.15		2.71		-0.75		0.26		0.16				-0.44		-0.47	
-0.76		0.2		2.19		-0.75		0.59		0.17				-0.91		-0.34	
2.48		0.2		2.1		1.36		0.59		0.27				0.94		0.32	
1.17		-0.13		-2.32		0.03		-0.82		-0.59				0		0.32	
0		0.14		3.26		-0.75		-0.88		0.03				0		-0.44	
-0.76		1.82		0		1.11		4.79		-0.2				-0.34		-0.47	
0		2.68		3.43		-0.15		4.79		0.82				0.94		0.22	
3.2		-0.32		1.9		-0.15		0.13		-0.15				0.94		-0.09	
0		3.55		0.41		-0.15		-0.83		0.73				0		0.97	
0		3.55		1.92		0.96		-1.03		3.15				-1.85		0.04	
-1.76		1.41		1.49		-0.14		2.31		3.15				-1.89		-2.2	
0		0.76		2.26		-0.42		-0.59		-0.15				0		-0.1	
0		0.24		0.3		0.07		0.3		0.33				0		0.45	
-0.76		-0.22		1.52		-0.21		0.13		0.33				2.45		-1.65	
0.63		0		2.55		0.3		0.25		0.51				-2.46		0.12	
1.16		-0.17		-3.14		-0.34		-0.05		1.48				0		0.04	
-0.07		1.03		0.7		0.51		0.57		1.48				0		-1.4	
1.15		-0.1		3.84		-0.86		0.57		0.18				0		-0.41	
0.83		0.91		3.86		-0.62		-0.29		0.18				-0.98		0.66	
-0.76		-0.54		3.73		0.58		-0.1		2.62				0		-0.71	
-1.73		-0.54		2.44		-0.14		0.21		0.65				0		0	
0.69		-0.39		2.06		-0.24		2.09		0.36				-2.52		0	
1.16		-0.31		0		-0.26		0.93		0.36				0		-1.87	
-1.55		-0.29		0.65		0.1		-0.47		2.21				-1.49		-3.03	
-1.02		-0.51		-0.75		0.14		-0.47		0.14				1.49		0	
3.11		-0.14		1.52		0.57		3.5		0.26				-0.6		-2.45	
-0.76		-0.14		4.29		0.04		4.32		0.46				2.31		-2.88	
-0.05		0.2		3.91		-0.51		5.15		2.13				0.94		0	
-0.76		-0.32		-2.2		0.12		0.19		4.57				-0.98		0	
-3.5		0.13		0.21		1.28		-1.21		2.21				0.81		0.01	
-0.44		2.54		1.44		1.13		-0.14		0.82				0		0	
0.2		-0.47		3.95		0.24		-0.33		0.56				2.42		-2.41	
0		-0.47		3.95		1.43		1.33		0.23				0		0.01	
-0.76		-1.49		3.9		-0.23		1.33		0.05				-0.02		-0.96	
0		1.16		2.65		0.83		-0.35		0.02				0.94		-2.38	
1.16		0.59		-1.54		-1.73		0.84		0.86				0.94		-1.88	
0		-0.17		-0.75		-0.71		-2.02		0.74				-3.46		-0.19	
2.13		0		1.65		-0.54		-0.22		1.18				0.86		-0.88	
1.16		0		0		-0.54		0.05		1.75				0		-3.46	
2.66		-0.04		0		0.57		0.33		0.07				0		-3.46	
-1.52		1.48		-0.39		-0.61		-0.04		0.89				0		-0.96	
-1.34		-0.2		-0.75		0.09		0.34		-0.07				-2.9		0.97	
1.16		-0.03		-1.83		-0.17		-0.8		0.01				1.86		2.89	
-2.25		-0.08		-2.29		-0.17		-0.1		-0.25				0		2.22	
3.84		0.2		0.21		1.44		-1.36		0.27				-1.84		-2.85	
0		-0.57		-0.26		-1.44		-0.5		0.26				-1.05		0	
1.16		-0.02		1.49		-0.32		-0.5		1.39				0		-0.03	
0.2		1.83		1.51		4.55		0.77		-0.29				1.87		0	
-1.92		-0.17		-2.96		4.55		-0.71		0.63				0.77		0	
-0.76		-0.13		3.3		0.36		0.13		0.12				-0.02		1.9	
1.89		-0.05		0		0.5		-1.02		-0.05				0.55		0	
-0.76		-0.14		0		5.26		-0.3		0				0		-0.96	
1.16		0.68		0.75		0.57		-0.3		-0.75				0.99		0	
-1.88		0.68		0.21		0.79		0.07		0.44				1		-0.99	
1.14		0.21		3.23		1.76		0.32		0.08				-2.9		0.97	
1.14		0.21		1.37		0.29		0.2		-0.23				-0.98		0	
-0.85		-0.24		0		-0.49		0.09		0.57				-0.02		0.97	
0		1.44		0.21		-0.2		5.99		0.06				-3.08		0	
-0.4		0.94		-1.37		0.98		0.23		-1.41				0		-2.46	
0.66		0.32		1.83		0.14		0.03		0.52				0		-0.08	
2.17		0.26		-2.2		0.04		6.22		0.52				0		0	
0		0.02		-0.1		0.09		1.45		1.59				0		2.89	
0.14		0.02		-1.48		0.81		1.68		-0.81				0.94		0.95	
-1.29		0.3		3.47		0.53		-0.07		1.05				-3.09		0.01	
0		-0.51		1.88		3.24		-0.21		0.06				0		0	
-0.14		0.84		0.89		3.24		1.87		-0.11				0		0	
0		0.59		2.33		-0.28		-0.71		-0.64				-1.89		-1.82	
1.74		0.93		0.63		-0.24		-0.44		1.15				0		2.45	
0		0.93		0.86		-0.02		-0.59		1.15				0.94		0	
-0.76		0.06		0		-1.23		6.54		-0.01				0		-4.46	
-2.87		3.92		0.89		-1.23		-0.98		-0.14				-0.98		0	
2.62		-0.15		-0.55		2.97		4.63		0.39				0		0	
-1.55		0.34		-0.72		-0.38		4.63		0.65				-0.91		0.97	
0		0.09		0.86		-0.82		4.63		0.31				-0.01		0.97	
-0.76		0		-0.49		1.13		2.97		4.09				0		0	
0		0.28		1.59		1.07		6.16		0.53				2.45		1.22	
-1.55		0.78		0.94		2.57		2.1		-0.17				-0.27		0.97	
3.02		-1.63		1.84		0.28		0.89		-0.17				1.86		0	
-0.76		0.82		0.21		-0.24		-1.38		0				-2.48		0	
