ccl4_10w_vs_ccl4_6w_a2b	ccl4_10w_vs_ccl4_6w_b2a	ccl4_10w_vs_ctrl_10w_a2b	ccl4_10w_vs_ctrl_10w_b2a	ccl4_18w_vs_ccl4_10w_a2b	ccl4_18w_vs_ccl4_10w_b2a	ccl4_18w_vs_ccl4_6w_a2b	ccl4_18w_vs_ccl4_6w_b2a	ccl4_18w_vs_ctrl_18w_a2b	ccl4_18w_vs_ctrl_18w_b2a	ccl4_6w_vs_ctrl_6w_a2b	ccl4_6w_vs_ctrl_6w_b2a	ctrl_10w_vs_ctrl_6w_a2b	ctrl_10w_vs_ctrl_6w_b2a	ctrl_18w_vs_ctrl_10w_a2b	ctrl_18w_vs_ctrl_10w_b2a	ctrl_18w_vs_ctrl_6w_a2b	ctrl_18w_vs_ctrl_6w_b2a
-0.4	0	0.29	1.41	-1.28	1.29	0.72		-1.93	0.53	0.69	-0.13	0.25	-0.01	0.09	-0.19	-1.53	-0.27
-0.5	0.2	0.39	-0.37	0.74	-0.53	1.22		-1.93	-0.35	0.36	-0.09	0.24	-0.29	0.08	-0.1	-0.34	0.97
-0.65	-1.23	0.57	0.13	1	0.29	0.59		-1.93	-2.74	-0.36	-4.69	-1.1	1.13	0.08	-0.07	-1.18	-2.92
-0.43	0	-0.54	-0.66	-0.36	0.2	1.03		4.32	-0.5	0.14	-0.12	-0.11	-0.73	-0.41	0.08	0.56	1.81
-1.82	-1.55	0.41	0.29	-1.14	2.22	1.39		-1.63	-7.34	1.04	5.16	-0.18	0.18	-0.08	0.2	0.56	-0.92
-0.77	0.92	-0.24	0.2	-0.6	2.22	1.39		3.21	-6.34	-0.45	1.47	-0.14	-0.04	-0.36	-0.36	-0.07	1.79
-0.77	0	0.31	-0.06	-0.6	-0.83	-0.97		2.69	-4.7	-0.64	1.47	0.23	-0.58	-0.36	0.23	-0.83	0.01
-0.77	-1.55	1.7	-0.06	1.53	-0.83	-0.97		1.56	-1.45	0.23	0.31	0.31	1.84	0.07	0.24	-0.96	1.35
-0.56	-1.73	1.8	-0.06	0.97	-0.83	0.27		1.93	-1.71	-0.56	-0.31	1.19	0.23	-0.31	0.43	-1.33	-0.96
1.19	-2.13	0.19	0.31	0.69	-0.33	-2.04		1.23	0.52	0.95	-2.68	-1.28	-0.24	0.15	0.08	2.71	-1.84
0.7	0	0.19	-0.8	0.53	0.77	-2.04		1.23	0.06	1.43	-2.68	-0.35	-0.21	1.21	0.38	-1.14	0
-0.64		-0.18	-0.79	2.18	-0.53	-1.12		0.37	-1.19	0.48	-0.21	0.16	0	-0.25	-0.28	-1.23	-0.03
1.25		0.2	-0.19	2	-0.96	0.09		2.05	-1.1	0.81	3.13	0.1	0.23	-0.19	0.17	0.06	0.36
1.11		0.09	2.11	1.53	-2.87	-3.24		0.2	-1.22	0.88	0.23	-1.84	-0.88	-0.03	0.15	0.06	0
1.35		0.81	3.68	0.25	-0.47	1.25		1.36	-2.77	0.88	1.57	-0.38	-1.3	-0.2	-0.17	-1.01	-0.96
1.93		-0.8	3.68	-0.3	-1.21	0.43		0.54	-0.86	1.15	1.57	-0.65	0.07	-0.14	-0.05	-0.4	0
0.46		1.27	1.47	1.11	-0.32	0.41		3.12	0.62	1.17	0.41	-0.32	0.2	-0.14	-0.04	-0.18	0
-0.72		1	0.02	1.02	-0.06	-0.04		0.33	2.61	0.83	0.41	-0.33	1.89	-0.25	0.26	-0.18	-0.21
0.48		-0.38	0.11	0.03	-0.06	4.66		-1.14	2.61	-0.3	-0.02	1.59	0.09	0.01	-0.31	-3.16	0
-0.44		0.36	0.14	-0.38	-0.25	0.41		-1.14	1.28	0.58	0.37	0.18	0.36	-0.27	-0.11	0.42	1.05
-0.52		1.01	-0.5	1.23	-0.11	-0.26		2.65	1.28	1.88	2.98	0.67	-0.19	-1	0.02	-0.1	-1.92
-0.52		0.76	-0.07	-0.21	-0.23	0.01		0.48	1.18	1.12	2.98	0.03	-0.08	-0.24	0	0.33	0
-0.54		-0.03	2.49	1.07	-0.66	0.36		-2	1.18	1.44	0.94	-1.05	0.63	-0.1	-0.01	-1.64	0.76
-0.54		-0.3	-1.54	2.06	-0.78	-0.36		0.43	1.18	-1.47	-0.58	-0.3	0.71	-0.71	-0.05	0.08	0
-0.31		-0.3	-1.06	-0.26	-1.51	0.09		0.43	1.18	1.38	0.46	-0.78	0.61	0.17	-1.11	0.21	0.06
-0.26		-0.3	-0.47	0.41	-1.89	-0.18		3.79	-2.72	0.44	2.77	-0.41	-1.45	-0.38	0.13	-1.17	0.01
-0.55		0.78	-0.24	0.41	1.96	0.23		2.66	3.31	0.44	-0.65	-0.44	0.52	-0.38	0	-0.84	0.97
1.69		0.09	1.69	0.79	-1.31	0.1		1.13	0.62	1.8	0.51	-0.06	-0.18	0.04	-0.06	-0.66	-0.91
-0.37		2.35	-0.36	0.27	0.09	-1.93		5.2	2.4	0.42	0.75	0.24	-0.96	-0.29	0.1	-0.25	0
2.57		0.79	2.33	1.39	0.91	-1.93		-0.33	2.08	0.83	-0.22	-0.26	0.19	-0.68	0.02	0.17	0.97
0.5		0.8	-0.05	0.29	0.74	0.74		-1.55	2.63	0.19	0.32	-1.05	-0.06	-0.2	0.05	0.17	0
-0.32		0.06	0.05	2.32	-0.23	0.38		0.39	-1.86	-0.71	0.06	0.39	0.03	-0.36	-0.29	-0.7	1.01
-1.06		-0.98	0.28	0.78	-1.73	0.05		1.23	-1.86	1.83	0.89	0.39	0.13	-0.46	-0.11	-0.7	0
-0.42		-1.1	0.67	2.54	2.04	0.05		-0.38	-1.86	0.71	-1.01	0.44	2.12	-0.46	-0.01	0.2	
-1.4		0.95	0.67	0.53	1.71	0.16		0.22	0.6	-0.73	0.1	0.25	0.32	0.06	0.26	0.21	
-0.7		1.37	2.96	-0.14	1.71	2.8		0.99	-1.66	0.85	0.53	0.72	-0.23	-1	0.71	-0.24	
